serial,factor,item_id,item_text,feedback_improve,feedback_strength
1,1,IM01,解決すべき問題に取り組んでうまくいかないときは、次の手段を考え、前向きに取り組むようにしている。,行き詰まったら”代案を3つ”とそれぞれのメリット・デメリットを書き出してみましょう。メリットが多く、デメリットが少ないものを一つ絞ったら、あとは実行するのみです。,困難があっても代替案を考えて、行動に移せるのはあなたの大きな強みです。その行動の先に新たな学びがあり、成長をつづけていけます。
2,2,IM02,普段から健康や休息の時間を大切にしている。,健康や休息は、長期的に力を発揮するために重要な要素です。忙しさや義務感に押されて後回しになっているのかもしれません。自分を大切にする習慣を少しずつ増やしてみましょう。,あなたは自分の健康や休息を大切にできています。その習慣が長期的なエネルギーと安定につながっていますね。
3,3,IM03,会話や話し合いの中で、意見の相違があったときは、相手の意見を相手の立場に立って考えるようにしている。,自分と異なる意見に触れた時不安になることもありますが、相手の立場で考えてみると、新しい理解が得られるかもしれません。「私はこう思うけれど、あなたの意見も理解できます」と、自分の気持ちと相手の立場を両立させる伝え方を練習すると建設的な対話ができます。,あなたは相手の立場に立って考えることができています。その柔軟な姿勢は、建設的なコミュニケーションを可能にする大きな強みになっています
4,5,IM04,今所属しているクラスや部署において、周囲の人は自分の努力を認めてくれていると思う。,自分の努力が認められていると感じられることは、心理的安全性を高めます。努力が見てもらえているという実感は、安心して挑戦や工夫を続けるための土台になります。あなたの所属するクラスやチームはどうでしょうか？心理的安全性は、一人の力だけで築けるものではありません。信頼できる仲間とともに、心理的安全性を高めるための工夫について話し合ってみましょう。,あなたは周囲から努力が認められていると感じられています。周囲の人に自分の努力が認めてもらえている実感は心理的安全性を支える大切な要素であり、挑戦や工夫を続ける力にもつながります。
5,1,IM05,自分が悩んだり苦しいと感じた時に、それらを対処するために役立つ方法を考え、行動するようにしている。,悩んだり苦しいと感じた時に、これをするとホッとできるようなリストを作ってみましょう。例えば、自分が好きなジャスミンの匂いを嗅ぐ。モフモフの動物のショート動画を見る。などお金がかからず簡単にできるものを考えて、すぐに見返せるようにメモしておきましょう。,悩んだり苦しいときに、自分なりの対処法があるのはあなたの大きな強みです。あなたの心の回復を支えることに役立っています。
6,2,IM06,人間関係において大切にしている価値観を念頭に置いて行動している。,「どんな人間関係を大事にしたいか」を振り返ってみましょう。例えば「お互いを尊重し合う」というように大切にしたいこと（価値）を明確にしてみましょう。それを意識して過ごすことで日々の満足感は高まります。,あなたは人間関係において大切なこと(価値)を意識できています。その姿勢があれば、人間関係について満足感を持って過ごすことができます。
7,4,IM07,新しいアイデアに触れたとき、心がワクワクする。,ワクワクする感情は「自分にとって大事な価値や興味とつながっているサイン」です。小さなことでいいので、その感情を感じるような行動を増やしてみましょう。,あなたは新しいアイデアに出会ったときにワクワクを感じられています。その感覚は、好奇心や価値とつながる大切なサインです。そうした気持ちを大事にすることは、あなたの学びや成長に役立っていることでしょう。
8,1,IM08,解決すべき問題を抱えている時は、検討した解決策を積極的に行動に移すようにしている。,検討した解決策は、頭の中で考えるだけでなく、小さな一歩でも行動に移してみましょう。行動してみることで新しい気づきや改善点が見えてきます。,考えたことを積極的に行動に移せているのは、実行力の高さを示しています。実際にやってみる姿勢が、次の成長や発見につながっていますね。
9,2,IM09,自分の人生で大切にしたいことを意識して日々を過ごしている。,目の前の課題に追われて、自分が大切にしたいこと（価値）を振り返る余裕がなくなっているのかもしれません。自分が大切にしたいこと（価値）を書き出してみましょう。そして、その価値に沿った行動を実践することを心がけてみましょう。,人生で大切にしたいこと（価値）を意識して日々を過ごせているのは、あなたの強みです。人生の満足感も高まります。
10,3,IM10,周囲の人が悩んだり苦しんでいることに気づいた時は、思いやりを持って接するようにしている。,周囲の人に対して 思いやりを持って接すると、相手に安心感を与えることができ、良好な人間関係を築くことができます。,あなたは周囲の人に思いやりをもって接することができています。その姿勢により、相手に安心感を与えていることでしょう。
